Cases,PA_status,BR,BRenblr,BRenblr_habit_consistency,BRenblr_impl_intent,BRenblr_action_planning_schedule,BRenblr_impl_intent_places,BRenblr_impl_intent_graded_tasks,BRenblr_impl_intent_clearmind,BRenblr_impl_intent_variety,BR_action_planning,BRenblr_reminders,BRenblr_impl_intent_find_joy,BRenblr_habit_routine,BRenblr_habit_find_joy,BRenblr_min_distract_impl_intent,BRenblr_goal_setting,BRenblr_impl_intent_remind_benefit,BRenblr_action_planning_motivation,BRenblr_impl_intent_weather,BRenblr_self_monitoring,BRbrrier,BRbrrier_self_monitoring_HR_breathing,BRbrrier_overexert,BRbrrier_symptom_monitoring,BRbrrier_self_monitoring,BRbrrier_habit_discontinuity,BaCap,BaCapenblr,BaCapenblr_selfEfficacy,BaCapbrrier,BaCapbrrier_selfEfficacy_prcvd_smptmsHF,BaCapbrrier_selfEfficacy_HF,BaCapbrrier_selfEfficacy_heart,BaCapbrrier_selfEfficacy_prcvd_smptms,BaCapbrrier_perceived_exertion,BaCapbrrier_selfEfficacy_hlth_cndtns_typePA,BaCapbrrier_selfEfficacy_ hlth_cndtns,BaCapbrrier_selfEfficacy_older_age,BaCon,BaConenblr,BaConenblr_pos_expctncy_health,BaConenblr_pos_expctncy_mood,BaConenblr_pos_expctncy_HFmanage,BaConenblr_pos_expctncy_RAmanage,BaConenblr_pos_expctncy_mobility,BaConenblr_pos_expctncy_cardio_health,BaConbrrier,BaConbrrier_risk_heart,BaConbrrier_risk_safety_exercise,BaConbrrier_neg_expctncy_sympcomrbd,BaConbrrier_neg_expctncy_symptoms_HF,BaConbrrier_risk_health_conditions,ECR,ECRenblr,ECRenblr_environment,ECRenblr_equipment,ECRenblr_fascilities,ECRenblr_cardiac_device,ECRenblr_exercise_programmes,ECRbrrier,ECRbrrier_cardiac_device,ECRbrrier_weather,ECRbrrier_environment,ECRbrrier_lack_fascilities,Emotion,Emotionenblr,Emotionenblr_mood,Emotionbrrier,Emotionbrrier_stress_anxiety,Emotionbrrier_negative_emotions,Emotionbrrier_frustration,Emotionbrrier_fear,Emotionbrrier_mood,Goals,Goalsenblr,Goalsenblr_goal_priority,Goalsenblr_goal_outcome_independ,Goalsenblr_goal_outcome_preventMI,Goalsenblr_goal_behaviour,Goalsenblr_goal_outcome_health,Goalsbrrier,Goalsbrrier_goal_conflict,Goalsbrrier_goal_behavioural,Intention,Intentionenblr,Intentionenblr_to_increase,Intentionenblr_maintain_HP,Intentionenblr_maintain_within_ability,Intentionbrrier,Knowledge,Knowledgeenblr,Knowledgeenblr_ safety,Knowledgeenblr_ symptom_manage,Knowledgeenblr_ somatic,Knowledgeenblr_benefits,Knowledgeenblr_ disease,Knowledgebrrier,Knowledgebrrier_safety,Knowledgebrrier_exercise techniques,MADP,MADPenblr,MADPenblr_pros/cons,MADPbrrier,MADPbrrier_symptom hypervigilance,MADPbrrier_attention/distraction,MADPbrrier_symptom hypervigilance,MADPbrrier_forgetfulness,Optimism,Optimismenblr,Optimismenblr_positive_attitude_PA,Optimismenblr_new_ways_active,Optimismenblr_future_ability,Optimismenblr_positive_attitude,Optimismenblr_positive_attitude,Optimismenblr_positive_attitude,Optimismbrrier,Optimismbrrier_pesimistic_expectation,Reinforcement,Reinforcementenblr,Reinforcementenblr_ extrinsic_reward_praise,Reinforcementenblr_intrinsic_reward,Reinforcementenblr_extrinsic_reward_accomplish,Reinforcementenblr_positive_feedback,Reinforcementbrrier,Reinforcementbrrier_negative reward_progress,Reinforcementbrrier_negative reward_completion,SIenblr,SIenblr,SIenblr_social_support_practical_compan,SIenblr_clinical_advice,SIenblr_social_support_emotional,SIenblr_clinical_advice_reassurance,SIenblr_social support_practical_clinical,SIbrrier,SIbrrier_clinical_advice,SIbrrier_clinical_advice_typePA,SIbrrier_social_influences,SPR,"
SPRenblr",SPRenblr_perceived_identity,SPRbrrier,SPRbrrier_perceived_identity,Skills,Skillsenblr,Skillsenblr_safety,Skillsenblr_symptom_management,Skillsenblr_equipment,Skillsenblr_exercise_techniques,Skillsenblr_symptom_hypervigilance,Skillsbrrier,Skillsbrrier_lack_skills_symptom_management,Skillsbrrier_lack_skills _equipment,Skillsbrrier_lack_skills_symptom_hypervigilance,Skillsbrrier_lack_exercise_techniques
Participant10_William_active_version3,1,18,18,4,3,0,0,0,0,0,2,1,3,3,2,0,2,0,0,3,0,0,0,0,0,0,0,10,1,1,9,1,1,0,5,0,1,1,0,23,12,11,0,0,0,1,0,11,3,0,0,0,8,13,10,8,0,1,0,1,3,0,3,0,0,2,1,1,1,0,0,0,0,1,23,20,3,9,0,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,7,7,1,3,2,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,2,0,1,0,1
Participant10_William_sedentary_version3,0,11,8,0,0,1,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,12,0,0,12,0,1,0,5,0,0,3,3,26,16,13,1,0,0,0,2,10,0,1,1,0,8,8,0,0,0,0,0,0,8,0,4,4,0,2,1,1,1,0,0,0,0,1,5,4,2,0,0,2,0,1,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,15,13,6,2,4,1,0,2,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,2
Participant11_Richard_active_version3,1,8,8,6,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,12,8,0,0,2,0,2,1,0,17,16,9,6,0,0,0,1,1,0,0,0,1,0,7,3,3,0,0,0,0,4,0,4,0,0,3,2,2,1,0,0,0,0,1,6,5,3,0,0,2,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,6,6,0,0,0,2,0,4,0,0,12,12,0,6,6,0,0,0,0,8,8,2,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2
Participant11_sedentary_Richard_version3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,1,5,0,1,2,4,1,4,18,7,1,4,0,0,2,0,11,1,0,1,0,10,6,2,2,0,0,0,0,4,0,1,0,3,3,1,1,2,0,0,2,0,0,2,0,0,0,0,0,0,2,2,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5,3,0,0,2,1,0,2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1
Participant12_Johan_sedentary_version3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,1,2,1,0,1,0,3,2,24,17,9,1,4,0,0,3,7,0,1,1,0,5,6,1,1,0,0,0,0,5,5,0,0,0,2,1,1,1,0,0,0,0,1,6,4,1,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,4,2,0,2,0,2,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,7,6,0,2,3,1,0,1,0,0,1,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Participant12_active_Johan_version3,1,12,12,6,0,0,0,0,2,0,0,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,7,1,1,6,0,1,0,2,0,0,3,0,31,13,9,3,0,0,0,1,18,6,2,0,1,10,7,5,5,0,0,0,0,2,1,1,0,0,5,2,2,3,1,0,0,0,2,7,7,1,4,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,3,3,0,1,1,1,0,0,0,0,7,7,0,3,4,0,0,0,0,14,14,0,5,7,2,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
Participant13_Patricia_active_version3,1,10,10,5,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,4,4,4,2,0,0,1,0,1,0,0,22,15,9,1,2,2,0,1,8,0,0,2,0,6,9,6,6,0,0,0,0,3,0,3,0,0,2,0,0,2,1,0,0,0,1,6,4,2,0,0,2,0,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,6,6,0,3,3,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant13_Patricia_sedentary_version3,0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,1,0,5,0,1,0,0,23,5,4,1,0,0,0,0,18,4,5,0,3,7,9,0,0,0,0,0,0,9,0,4,4,1,3,1,1,2,1,0,0,0,1,6,3,0,3,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,2,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,6,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,2
Participant14_Thomas_active_version3,1,16,13,4,1,3,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,3,2,1,0,1,0,9,2,2,7,7,0,0,0,0,0,0,0,25,15,8,2,4,0,0,1,10,0,0,1,1,8,6,4,4,0,0,0,0,2,0,2,0,0,2,1,1,1,0,0,0,0,1,10,6,2,2,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,6,6,0,0,0,0,5,5,0,1,3,1,0,0,0,0,0,1,1,1,0,0,3,2,0,0,1,1,0,1,0,1,0,1
Participant14_Thomas_sedentary_version3,0,7,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,8,0,0,8,0,2,0,3,2,1,0,0,24,11,10,1,0,0,0,0,13,1,3,0,0,9,9,2,2,0,0,0,0,7,0,5,2,0,5,1,1,4,0,0,0,2,2,6,1,1,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,1,0,0,6,5,0,0,1,0,4,0,1,1,1,1,0,0,1,0,0,0,0,14,14,0,2,5,7,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,1,0,1,0,0,0,1
