"","Construct","logOR_prior_elicitation","variance_prior_elicitation","participant_source"
"1","SocialSupport",0.762392411213753,0.1,"ChatGPT"
"2","SocialSupport1",1.00132571839431,0.1,"ChatGPT"
"3","SocialSupport2",2.23363095019943,0.1,"ChatGPT"
"4","NegativeAttitude",3.08251503711476,0.1,"ChatGPT"
"5","NegativeAttitude1",3.21858128795522,0.1,"ChatGPT"
"6","NegativeAttitude2",4.00303313647579,0.1,"ChatGPT"
"7","PositiveAttitude",1.87054678403612,0.1,"ChatGPT"
"8","PositiveAttitude1",2.01691228716631,0.1,"ChatGPT"
"9","PositiveAttitude2",5.47400002215539,0.1,"ChatGPT"
"10","Symptoms_distress",0.820109564247706,0.1,"ChatGPT"
"11","Symp_Dis_Emotionbrrier",2.13561385685642,0.1,"ChatGPT"
"12","SelfEfficacy",23.3978226320311,0.1,"ChatGPT"
"13","SE_BaCapbrrier_var",2.32943443781699,0.1,"ChatGPT"
"14","fewerPerceivedSymptoms",1.46133912460066,0.1,"ChatGPT"
"15","fewerPerceivedSymptoms1",8.43042074628783,0.1,"ChatGPT"
"16","fewerPerceivedSymptoms2",10.5603457458809,0.1,"ChatGPT"
"17","Dysphoria",2.860610017793,0.1,"ChatGPT"
"18","Dysphoria1",0.941639458955224,0.1,"ChatGPT"
"19","Dysphoria2",2.92147858276046,0.1,"ChatGPT"
