"","Construct","logOR_prior_elicitation","variance_prior_elicitation","participant_source"
"1","SocialSupport",2.40179242754611,0.1,"Human"
"2","SocialSupport1",2.48357713229796,0.1,"Human"
"3","SocialSupport2",2.40179242754611,0.1,"Human"
"4","NegativeAttitude",-2.52988273583946,0.1,"Human"
"5","NegativeAttitude1",-2.35891054188636,0.1,"Human"
"6","NegativeAttitude2",-2.5228840506655,0.1,"Human"
"7","PositiveAttitude",2.51854962139112,0.1,"Human"
"8","PositiveAttitude1",2.52561941520775,0.1,"Human"
"9","PositiveAttitude2",-2.32906760293938,0.1,"Human"
"10","Symptoms_distress",-2.44455628261302,0.1,"Human"
"11","Symp_Dis_Emotionbrrier",-2.46499065930865,0.1,"Human"
"12","SelfEfficacy",2.41451409872696,0.1,"Human"
"13","SelfEfficacy1",2.54024350816876,0.1,"Human"
"14","SE_BaCapbrrier",-2.53567109884323,0.1,"Human"
"15","fewerPerceivedSymptoms",2.50314608705756,0.1,"Human"
"16","Dysphoria",-2.31320453763898,0.1,"Human"
"17","Dysphoria1",-2.49140318259575,0.1,"Human"
"18","Emotionbrrier",-2.46499065930865,0.1,"Human"
