,,Active,,Sedentary,,,,,,
,,mean % quote,sd,mean % quote,sd,statistic,df,p,p.adj,p.adj.signif
Behavioural regulation,Silicon,17.05,3.89,9.91,4.76,4.64,28.85,0.0001,0.0019,**
,Human,10.82,5.95,8.25,7.66,0.76,14.00,0.4620,1.0000,ns
Beliefs about capabilities,Silicon,1.95,1.38,0.22,0.61,4.59,20.65,0.0002,0.0044,**
,Human,0.67,1.15,0.00,0.00,1.55,6.00,0.1730,1.0000,ns
Beliefs about consequences,Silicon,16.55,3.57,13.76,5.24,1.76,26.47,0.0901,1.0000,ns
,Human,10.39,6.58,4.26,4.13,2.16,9.56,0.0576,1.0000,ns
Emotion,Silicon,1.11,0.75,1.55,0.67,-1.76,29.66,0.0893,1.0000,ns
,Human,0.00,0.00,0.00,0.00,NA,NA,NA,NA,
Environmental context and resources,Silicon,4.98,3.24,1.88,2.07,3.21,25.51,0.0036,0.0959,ns
,Human,6.50,3.91,7.82,5.08,-0.59,14.00,0.5650,1.0000,ns
Goals,Silicon,9.25,3.48,2.47,2.32,6.48,26.18,0.0000,0.0000,****
,Human,14.53,8.81,2.14,3.58,3.50,7.55,0.0088,0.2381,ns
Intentions,Silicon,0.46,0.63,1.12,1.11,-2.06,23.86,0.0502,1.0000,ns
,Human,1.68,2.65,0.34,1.01,1.28,7.36,0.2410,1.0000,ns
Knowledge,Silicon,0.79,1.29,0.88,1.22,-0.22,29.92,0.8300,1.0000,ns
,Human,1.51,2.21,0.94,1.41,0.60,9.67,0.5650,1.0000,ns
"Memory, attention, and decision processes",Silicon,0.19,0.40,0.09,0.36,0.73,29.59,0.4730,1.0000,ns
,Human,0.35,0.92,0.00,0.00,1.00,6.00,0.3560,1.0000,ns
Optimism,Silicon,3.40,2.71,3.05,1.91,0.42,26.93,0.6780,1.0000,ns
,Human,3.40,1.45,1.23,2.82,1.99,12.47,0.0691,1.0000,ns
Reinforcement,Silicon,5.30,4.37,1.68,1.62,3.10,19.04,0.0059,0.1580,ns
,Human,6.39,5.42,2.55,3.41,1.64,9.58,0.1330,1.0000,ns
Skills,Silicon,1.12,1.14,0.87,1.14,0.61,30.00,0.5460,1.0000,ns
,Human,0.48,0.85,0.93,2.78,-0.46,9.85,0.6580,1.0000,ns
Social influences,Silicon,8.80,3.31,11.52,3.49,-2.26,29.92,0.0316,0.8532,ns
,Human,6.52,7.85,3.61,5.19,0.85,9.92,0.4180,1.0000,ns
"Social, professional role and identity",Silicon,0.66,1.03,0.18,0.71,1.54,26.65,0.1360,1.0000,ns
,Human,9.23,7.57,1.38,2.17,2.66,6.77,0.0335,0.9045,ns
