"","construct_name","human_factor","mean_percent_quotes","sd_percent_quotes"
"1","BR","ChatGPT",1.08345787538993,1.54261396649264
"2","BR","Human",1.0191637630662,3.03082484248783
"3","BaCap","ChatGPT",12.1448951256585,6.19691559253156
"4","BaCap","Human",12.8558216240567,8.62556729931181
"5","BaCon","ChatGPT",9.26389282483065,5.480985436665
"6","BaCon","Human",7.83039604368277,14.0386823472591
"7","ECR","ChatGPT",6.23842371230255,4.14962520840876
"8","ECR","Human",7.06936427558595,9.98373693096698
"9","MADP","ChatGPT",2.4214726470001,2.11090990821638
"10","MADP","Human",1.74246794411857,2.29588873519234
"11","SI","ChatGPT",0.240871144653514,0.710222658451589
"12","SI","Human",4.55221804317833,5.11146006057206
"13","SPR","ChatGPT",0.272418298729203,0.658698525141461
"14","SPR","Human",2.77811004784689,9.0756266870909
"15",NA,"ChatGPT",1.13348562835261,1.70525128199164
"16",NA,"Human",1.66247278484184,3.44722118841816
