"","construct_name","human_factor","PA_status_factor","mean_percent_quotes","sd_percent_quotes"
"1","BR","ChatGPT","Active",0.760392758324744,1.22556477454944
"2","BR","ChatGPT","Sedentary",1.40652299245513,1.78697852725875
"3","BR","Human","Active",0.696864111498257,1.84372913663037
"4","BR","Human","Sedentary",1.26984126984127,3.8095238095238
"5","BaCap","ChatGPT","Active",8.2582158789708,4.23787523787918
"6","BaCap","ChatGPT","Sedentary",16.0315743723462,5.40160490089192
"7","BaCap","Human","Active",8.69372508436594,5.28785592406098
"8","BaCap","Human","Sedentary",16.093007821594,9.56988729913344
"9","BaCon","ChatGPT","Active",7.90025777387781,4.32886377279355
"10","BaCon","ChatGPT","Sedentary",10.6275278757835,6.2752811408143
"11","BaCon","Human","Active",1.41893971007895,1.99078196853452
"12","BaCon","Human","Sedentary",12.8170843031524,17.3959004122848
"13","ECR","ChatGPT","Active",3.74755033858502,1.9815348159206
"14","ECR","ChatGPT","Sedentary",8.72929708602008,4.29233007299363
"15","ECR","Human","Active",3.57684278261617,4.53130678338806
"16","ECR","Human","Sedentary",9.78576988122912,12.3497718613995
"17","MADP","ChatGPT","Active",1.59952644258348,1.10728236864383
"18","MADP","ChatGPT","Sedentary",3.24341885141672,2.55765502215852
"19","MADP","Human","Active",2.60344266210274,2.82107275130036
"20","MADP","Human","Sedentary",1.07282094124199,1.66174160242199
"21","SI","ChatGPT","Active",0.0612745098039216,0.245098039215686
"22","SI","ChatGPT","Sedentary",0.420467779503106,0.955812003465506
"23","SI","Human","Active",3.18881488995721,5.47857775386811
"24","SI","Human","Sedentary",5.61264271790587,4.8564891190402
"25","SPR","ChatGPT","Active",0,0
"26","SPR","ChatGPT","Sedentary",0.544836597458406,0.859287333173608
"27","SPR","Human","Active",0,0
"28","SPR","Human","Sedentary",4.93886230728336,11.9345091826496
"29",NA,"ChatGPT","Active",0.866724827038222,1.24099707085613
"30",NA,"ChatGPT","Sedentary",1.400246429667,2.03918670990862
"31",NA,"Human","Active",1.05111418154465,2.569630932241
"32",NA,"Human","Sedentary",2.13797392073966,3.95447342368145
