"","construct_name","PA_status_factor","human_factor","mean_percent_quotes","sd_percent_quotes"
"1","BCap","Active","Human",0.673107380424453,1.15055163677617
"2","BCap","Active","LLM",1.95300963738865,1.37969071893193
"3","BCap","Sedentary","Human",0,0
"4","BCap","Sedentary","LLM",0.221153846153846,0.610154053040554
"5","BCon","Active","Human",10.3897657973541,6.575290655203
"6","BCon","Active","LLM",16.5536415279452,3.57379935706861
"7","BCon","Sedentary","Human",4.26404816755694,4.12586073742979
"8","BCon","Sedentary","LLM",13.7629076465509,5.24227534011522
"9","BR","Active","Human",10.8239460263343,5.95315585070762
"10","BR","Active","LLM",17.0466558997852,3.88817836304243
"11","BR","Sedentary","Human",8.2474916246846,7.6643985932608
"12","BR","Sedentary","LLM",9.9088964206001,4.76194333165513
"13","ECR","Active","Human",6.49607168511812,3.91324236170897
"14","ECR","Active","LLM",4.97503264801808,3.24312369122957
"15","ECR","Sedentary","Human",7.82081466291992,5.07923102618357
"16","ECR","Sedentary","LLM",1.88431619310015,2.07402210589006
"17","Emtns","Active","Human",0,0
"18","Emtns","Active","LLM",1.10615901601545,0.748814872067135
"19","Emtns","Sedentary","Human",0,0
"20","Emtns","Sedentary","LLM",1.54804206310789,0.672156888035291
"21","Gs","Active","Human",14.5265943608135,8.80730799173806
"22","Gs","Active","LLM",9.25227632018694,3.47783468731777
"23","Gs","Sedentary","Human",2.13821591014573,3.57709032312418
"24","Gs","Sedentary","LLM",2.47334641035346,2.32498355522261
"25","Is","Active","Human",1.68432757718472,2.64816263943593
"26","Is","Active","LLM",0.463015162307057,0.634558609460152
"27","Is","Sedentary","Human",0.336700336700337,1.01010101010101
"28","Is","Sedentary","LLM",1.12211231314414,1.10964061407292
"29","Knls","Active","Human",1.50867065424028,2.21093103577974
"30","Knls","Active","LLM",0.787720537922338,1.28617357455607
"31","Knls","Sedentary","Human",0.937739972827692,1.41022105025518
"32","Knls","Sedentary","LLM",0.883554273378385,1.22167565940644
"33","MADP","Active","Human",0.348432055749129,0.921864568315187
"34","MADP","Active","LLM",0.186931208126815,0.401962288874249
"35","MADP","Sedentary","Human",0,0
"36","MADP","Sedentary","LLM",0.0892857142857144,0.357142857142857
"37","Optm","Active","Human",3.39803419430068,1.45474689868202
"38","Optm","Active","LLM",3.39836285329458,2.7148292935295
"39","Optm","Sedentary","Human",1.23456790123457,2.81609376402695
"40","Optm","Sedentary","LLM",3.04965333289129,1.91096121661373
"41","Rnfrt","Active","Human",6.38555943020504,5.41546883960038
"42","Rnfrt","Active","LLM",5.29860143344794,4.36871052858664
"43","Rnfrt","Sedentary","Human",2.54727728411939,3.40522010292655
"44","Rnfrt","Sedentary","LLM",1.68483862891444,1.61868491255849
"45","SI","Active","Human",6.51751510812949,7.84810004506153
"46","SI","Active","LLM",8.80461341307805,3.31062338652249
"47","SI","Sedentary","Human",3.61370598212704,5.19391481098149
"48","SI","Sedentary","LLM",11.5173357669107,3.48965683013018
"49","SPR","Active","Human",9.23309634469384,7.57344895764088
"50","SPR","Active","LLM",0.662221606811268,1.03451831346969
"51","SPR","Sedentary","Human",1.37766554433221,2.17219835193428
"52","SPR","Sedentary","LLM",0.178571428571429,0.714285714285715
"53","Skls","Active","Human",0.478450874020494,0.850507537529348
"54","Skls","Active","LLM",1.11746724425914,1.14457957806831
"55","Skls","Sedentary","Human",0.925925925925926,2.77777777777778
"56","Skls","Sedentary","LLM",0.870615399385398,1.14216563942085
