"Construct", "Probability", "logOddsRatio", "Hyperprior_density", "Mean_probability_hyperprior", "Variance_hyperprior", "Hyperprior_density_cumsum", "Hyperprior_density_CI", "Log_Odds_hyperprior", "Hyperprior_logOdds", "Hyperprior_logOdds_cumsum", "Hyperprior_logOdds_CI", "logOR_prior_elicitation", "variance_prior_elicitation", "Prior_qual_density", "Prior_qual_density_cumsum", "Prior_qual_density_CI", "p_Prior_qual", "Prior_qual_quantile_0.05", "Prior_qual_quantile_0.95", "Posterior_qual_only_mean", "Posterior_qual_only_variance", "Posterior_qual_only", "Posterior_qual_only_cumsum", "Posterior_qual_only_CI", "Posterior_qual_only_quantile_0.05", "Posterior_qual_only_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood", "Likelihood_cumsum", "Likelihood_CI", "p_Likelihood", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95", "posterior_QualplusQuant_mean", "posterior_QualplusQuant_variance", "Posterior_QualplusQuant", "Posterior_QualplusQuant_cumsum", "Posterior_QualplusQuant_CI", "p_Posterior_QualplusQuant", "Posterior_QualplusQuant_quantile_0.05", "Posterior_QualplusQuant_quantile_0.95", "posterior_All_mean", "posterior_All_variance", "posterior_All", "posterior_All_cumsum", "posterior_All_CI", "posterior_All_quantile_0.05", "posterior_All_quantile_0.95"
"SocialSupport", 0, -1, 5.99255167702408e-116, 0.433382295, 0.0189523150981809, 5.99255167702408e-116, "outside CI", -0.268064597507936, 0, 0, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 7.79583472176991e-158, 7.79583472176991e-158, "outside CI", 6.37685123757486e-158, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.001001001001001, -0.996996996996997, 2.00230455622799e-115, 0.433382295, 0.0189523150981809, 2.6015597239304e-115, "outside CI", -0.268064597507936, 3.95252516672997e-323, 3.95252516672997e-323, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 2.64000942365624e-157, 3.41959289583323e-157, "outside CI", 2.16316041037023e-157, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.002002002002002, -0.993993993993994, 6.67170704730222e-115, 0.433382295, 0.0189523150981809, 9.27326677123262e-115, "outside CI", -0.268064597507936, 1.66253089825579e-320, 1.66648342342252e-320, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 8.92161924677588e-157, 1.23412121426091e-156, "outside CI", 7.32264159160342e-157, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.003003003003003, -0.990990990990991, 2.21682946891642e-114, 0.433382295, 0.0189523150981809, 3.14415614603969e-114, "outside CI", -0.268064597507936, 7.09754944189701e-318, 7.11421427613124e-318, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 3.00868863671226e-156, 4.24280985097317e-156, "outside CI", 2.47367959142924e-156, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.004004004004004, -0.987987987987988, 7.34541079171277e-114, 0.433382295, 0.0189523150981809, 1.04895669377525e-113, "outside CI", -0.268064597507936, 2.95486486058008e-315, 2.96197907485621e-315, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 1.01252594516735e-155, 1.43680693026467e-155, "outside CI", 8.33903380360989e-156, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.005005005005005, -0.984984984984985, 2.4271039462988e-113, 0.433382295, 0.0189523150981809, 3.47606064007404e-113, "outside CI", -0.268064597507936, 1.19967383655224e-312, 1.2026358156271e-312, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 3.40040329821715e-155, 4.83721022848182e-155, "outside CI", 2.80533446459311e-155, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.00600600600600601, -0.981981981981982, 7.99740609017966e-113, 0.433382295, 0.0189523150981809, 1.14734667302537e-112, "outside CI", -0.268064597507936, 4.74990710788725e-310, 4.76193346604352e-310, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 1.13959372866621e-154, 1.62331475151439e-154, "outside CI", 9.41781573705514e-155, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.00700700700700701, -0.978978978978979, 2.6278369002942e-112, 0.433382295, 0.0189523150981809, 3.77518357331957e-112, "outside CI", -0.268064597507936, 1.83401722477558e-307, 1.83877915824162e-307, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 3.81122883862714e-154, 5.43454359014153e-154, "outside CI", 3.15509444652951e-154, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.00800800800800801, -0.975975975975976, 8.61065421772987e-112, 0.433382295, 0.0189523150981809, 1.23858377910494e-111, "outside CI", -0.268064597507936, 6.90586475597309e-305, 6.9242525475555e-305, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 1.27196556756498e-153, 1.81541992657914e-153, "outside CI", 1.05480256461952e-153, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.00900900900900901, -0.972972972972973, 2.81360014092495e-111, 0.433382295, 0.0189523150981809, 4.05218392002989e-111, "outside CI", -0.268064597507936, 2.53588230088843e-302, 2.54280655343598e-302, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 4.23624469102602e-153, 6.05166461760515e-153, "outside CI", 3.51905967894735e-153, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
